Age,Breed,Gender
Adult,Collie & Hound Mix,Male
Adult,Mixed Breed,Female
Adult,Boxer Mix,Male
Adult,Terrier Mix,Male
Adult,Pit Bull Terrier & Corgi Mix,Female
Adult,English Bulldog Mix,Male
Adult,Retriever Mix,Male
Adult,American Bulldog,Female
Adult,English Bulldog Mix,Female
Adult,Akita Mix,Female
Young,Labrador Retriever Mix,Female
Young,Black Labrador Retriever Mix,Female
Young,Pit Bull Terrier Mix,Male
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Adult,Black Mouth Cur Mix,Female
Adult,Shepherd Mix,Female
Adult,Mixed Breed,Male
Senior,Mixed Breed,Female
Senior,Mixed Breed,Male
Adult,Hound Mix,Female
Senior,Hound Mix,Female
Adult,Chow Chow & Siberian Husky Mix,Male
Adult,Labrador Retriever Mix,Male
Adult,Labrador Retriever,Male
Adult,Mixed Breed,Male
Adult,Staffordshire Bull Terrier Mix,Female
Adult,Siberian Husky Mix,Female
Adult,Rhodesian Ridgeback & German Shepherd Dog Mix,Female
Adult,Staffordshire Bull Terrier Mix,Female
Puppy,Carolina Dog & Yellow Labrador Retriever Mix,Male
Young,Labrador Retriever Mix,Female
Puppy,Pit Bull Terrier Mix,Male
Young,Terrier & Staffordshire Bull Terrier Mix,Female
Adult,German Shepherd Dog & Black Mouth Cur Mix,Male
Puppy,Staffordshire Bull Terrier Mix,Female
Puppy,Labrador Retriever & Staffordshire Bull Terrier Mix,Male
Young,German Shepherd Dog Mix,Unknown
Puppy,Chiweenie Mix,Unknown
Young,Spitz Mix,Male
Adult,Beagle,Male
Puppy,West Highland White Terrier / Westie & Yorkie Poo Mix,Female
Young,American Staffordshire Terrier Mix,Male
Young,Labrador Retriever & Pit Bull Terrier Mix,Male
Young,Belgian Shepherd / Malinois,Female
Young,Labrador Retriever Mix,Female
Young,German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Female
Young,American Bulldog Mix,Male
Adult,Husky & Alaskan Malamute Mix,Male
Adult,German Shepherd Dog,Male
Adult,Belgian Shepherd / Malinois Mix,Female
Adult,Hound Mix,Male
Adult,Labrador Retriever Mix,Female
Adult,American Staffordshire Terrier Mix,Male
Young,Labrador Retriever & Terrier Mix,Male
Young,Labrador Retriever & Terrier Mix,Female
Adult,Black Labrador Retriever & American Staffordshire Terrier Mix,Female
Young,Jack Russell Terrier & Chihuahua Mix,Female
Young,Jack Russell Terrier & Chihuahua Mix,Male
Young,Catahoula Leopard Dog & Labrador Retriever Mix,Male
Young,Black Labrador Retriever & Catahoula Leopard Dog Mix,Female
Young,Catahoula Leopard Dog & Beagle Mix,Male
Adult,Husky & Alaskan Malamute Mix,Male
Adult,Black Labrador Retriever Mix,Female
Adult,Great Pyrenees & Anatolian Shepherd Mix,Female
Senior,Black Labrador Retriever & German Shepherd Dog Mix,Male
Senior,Schnauzer Mix,Male
Young,Mixed Breed,Female
Adult,Mixed Breed,Female
Young,Chocolate Labrador Retriever & German Shorthaired Pointer Mix,Female
Adult,Mixed Breed,Female
Adult,Great Dane & Labrador Retriever Mix,Female
Adult,Australian Shepherd,Male
Adult,Hound Mix,Male
Adult,Mixed Breed,Female
Young,Mixed Breed,Male
Young,Mixed Breed,Female
Adult,Labrador Retriever Mix,Female
Adult,Labrador Retriever & Mastiff Mix,Male
Adult,Boxer Mix,Male
Adult,Pit Bull Terrier Mix,Male
Adult,Brittany Spaniel,Female
Young,Dachshund & Beagle Mix,Female
Adult,Mixed Breed,Female
Adult,Mixed Breed,Female
Adult,Mixed Breed,Male
Senior,Chihuahua,Male
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Young,Mixed Breed,Male
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Adult,Mixed Breed,Female
Adult,Mixed Breed,Male
Adult,Mixed Breed,Female
Adult,American Bulldog Mix,Female
Adult,Boxer & American Bully Mix,Male
Adult,Mixed Breed,Female
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Adult,Mixed Breed,Female
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Young,Mixed Breed,Female
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Young,Mixed Breed,Male
Adult,Mixed Breed,Male
Young,Doberman Pinscher,Male
Adult,Mixed Breed,Male
Adult,Mixed Breed,Male
Young,Mixed Breed,Male
Adult,Mixed Breed,Female
Adult,Catahoula Leopard Dog Mix,Female
Adult,Black Mouth Cur & American Staffordshire Terrier Mix,Male
Adult,White German Shepherd Mix,Female
Adult,Mixed Breed,Female
Young,Hound Mix,Male
Adult,German Shepherd Dog,Female
Young,German Shepherd Dog Mix,Female
Adult,German Shepherd Dog,Female
Adult,German Shepherd Dog,Female
Adult,German Shepherd Dog,Male
Adult,English Pointer,Female
Adult,Patterdale Terrier / Fell Terrier & Treeing Walker Coonhound Mix,Male
Young,American Staffordshire Terrier & Pit Bull Terrier Mix,Female
Young,Mixed Breed,Unknown
Young,Mixed Breed,Unknown
Adult,Feist Mix,Male
Young,Pomeranian & Husky Mix,Female
Young,Greyhound,Male
Adult,Greyhound,Male
Adult,Greyhound,Female
Adult,Greyhound,Male
Senior,Pit Bull Terrier Mix,Female
Senior,Boxer Mix,Female
Senior,Pekingese,Female
Senior,Japanese Chin,Male
Young,American Staffordshire Terrier & Pit Bull Terrier Mix,Female
Young,Mixed Breed,Unknown
Young,Mixed Breed,Unknown
Adult,Feist Mix,Male
Adult,Coonhound & Foxhound Mix,Female
Adult,Rottweiler & Pit Bull Terrier Mix,Female
Adult,Shepherd Mix,Female
Puppy,Black Labrador Retriever Mix,Male
Adult,Pit Bull Terrier Mix,Female
Adult,Pit Bull Terrier,Female
Adult,Belgian Shepherd / Malinois Mix,Female
Adult,Hound Mix,Male
Adult,Labrador Retriever Mix,Female
Adult,Mixed Breed,Female
Young,Australian Cattle Dog / Blue Heeler Mix,Female
Young,Australian Cattle Dog / Blue Heeler Mix,Male
Adult,Australian Cattle Dog / Blue Heeler,Female
Adult,Catahoula Leopard Dog,Male
Puppy,Black Mouth Cur & Hound Mix,Female
Adult,English Bulldog Mix,Female
Young,Mixed Breed,Female
Young,Mixed Breed,Female
Young,Mixed Breed,Female
Young,Beagle Mix,Male
Adult,Labrador Retriever & Weimaraner Mix,Male
Adult,Pit Bull Terrier,Female
Young,Pit Bull Terrier & Dachshund Mix,Female
Young,Pit Bull Terrier & Dachshund Mix,Female
Adult,Yellow Labrador Retriever & Husky Mix,Male
Adult,Poodle & Black Labrador Retriever Mix,Female
Senior,Pit Bull Terrier Mix,Female
Senior,Labrador Retriever Mix,Male
Adult,Mixed Breed,Female
Senior,Husky & German Shepherd Dog Mix,Male
Adult,Mastiff Mix,Male
Adult,Mixed Breed,Male
Young,German Shepherd Dog Mix,Female
